Column1,nickname,text,score,like,dislike,time,watch_movie
1708,dlgk****,이젠 현실이다. 무섭다,10,1,0,2020-01-28 21:29,0
1709,진진아빠(good****),우리 모두가 경각심을 갖기 위해서라도 평점이 이렇게 낮은걸 방치하면 안된다.,10,1,0,2020-01-28 15:34,0
1710,miss****,지금은 영화같은 현실...,10,1,0,2020-01-28 12:07,0
1711,디알리아(hyun****),와...  어쩜이리 지금 우한상황과 똑같을까.박쥐나올때 소오름.진짜 대박인 영화다.중국인들 몇년전에 봤을텐데 예방은 커녕 똑같이 따라해서 민폐국되네,10,1,0,2020-01-28 2:21,0
1712,alsd****,우한폐렴 터지고보니까 더 와닿는다 .. 진짜 현실적인 바이러스 영화,10,1,0,2020-01-28 2:09,0
1713,네버신비포(alco****),"우환폐렴여파로 곧 이영화는 성지순례가 될것이다!!!자연과 환경의 파괴에 대한 역습이다! 사스, 메르스, 신종코로나까지 그간 얼마나 많은 소잃어야 제대로된 외양간를 고칠것인가?",8,1,0,2020-01-28 1:55,0
1714,CeLeBoRn(beat****),스포일러가 포함된 감상평입니다. 감상평 보기,10,1,0,2020-01-28 0:42,0
1715,sksk****,우한폐렴과 너무 비슷하다. 쓰면 스포가 되니 보시면 이해됨.,9,1,0,2020-01-28 0:36,0
1716,nix7****,와 싱크로율 대단하네 무섭다,10,1,0,2020-01-28 0:11,0
1717,ghks****,,10,1,0,2020-01-27 23:02,0
1718,파란나무(croo****),모든것이 완벽한 영화. 왜 평점이 낮지?,10,1,0,2020-01-27 22:29,0
1719,BASIC(cour****),못해도 별점 8점 이상은 받아야 할 영화,10,1,0,2020-01-27 20:18,0
1720,장한솔(sss9****),미래를 예측한 영화 -2/6-,10,1,0,2020-01-27 18:45,0
1721,둥두루둥(kimb****),"개꿀잼 ,,평점 왜조래?",10,1,0,2020-01-27 18:25,0
1722,허임(hyye****),현실적이라서 더 공포스러운 영화,8,1,0,2020-01-27 16:15,0
1723,빽가왕자(bjmb****),실화가 된 영화우한바이러스를 예측?,10,1,0,2020-01-27 14:51,0
1724,youm****,스포일러가 포함된 감상평입니다. 감상평 보기,10,1,0,2020-01-27 10:03,0
1725,비바블루(jun0****),몰입도 있고 잘만들었네요. 현상태를 미리 예측한 영화라서 더욱 몰입하고 봤네요~굳,10,1,0,2020-01-27 4:17,0
1726,이부구루(jnnf****),너무 현실적이어서 영화보다 더 영화같은 웰메이드 영화. 여운이 남아서 또 보고 싶네요,10,1,0,2020-01-27 1:58,0
1727,py6(py65****),다시 보러왔습니다.,10,1,0,2020-01-27 1:01,0
1728,cji0****,,9,1,0,2020-01-27 0:54,0
1729,윤서(yuns****),,8,1,0,2020-01-26 22:38,0
1730,디렉션(sm35****),,10,1,0,2020-01-26 22:32,0
1731,데이먼(damo****),요즘보고 경각심 일깨우기 최고,10,1,0,2020-01-26 15:24,0
1732,asdo****,,10,1,0,2020-01-26 13:53,0
1733,dbsg****,우환폐렴 예지영화 음악이 별로였음,10,1,0,2020-01-25 17:21,0
1734,hero****,스토리 탄탄하고 좋은 영화입니다,10,1,0,2020-01-10 12:19,0
1735,coeur(teso****),눈을 떼지 못하고 영화의 흐름에 빠져든다. 화려한 출연진은 덤.,10,1,0,2020-01-05 11:38,0
1736,날날이(lizh****),"평점 조절 용,적어도 7.5는 된다고 본다",10,1,0,2020-01-05 11:30,0
1737,꿈다루미(xuan****),,10,1,0,2020-01-05 9:37,0
1828,Aayo(aayo****),주드로가 연기한 가짜뉴스 블로거에 주목하자,10,2,1,2020-09-12 22:11,0
1829,mandarin(rach****),엔딩이 모든 걸 말해주는 영화. 아이와 함께 봤는데 꼭 보시라 강력추천합니다.2020년의 우리가 꼭 봐야할 영화.,10,2,1,2020-09-06 17:18,0
1830,내려가즘(ks04****),"지금보면 더 재밌다. 이 영화대로 라면 코로나로 주가 오르는 기업들도 있을꺼고, 사기꾼도 있을꺼고, 십수년 후에 백신의 후유증도 나타날 수 있다. 사실적인 영화이다",10,2,1,2020-09-05 23:05,0
1831,닉네임(jiho****),예측을 정확히해버린..,10,2,1,2020-09-04 19:36,0
1832,서디귿(phea****),"마스크는 필수요, 손은 항상 씻고다니자.",7,2,1,2020-09-02 22:39,0
1833,희아(dark****),보는동안 보건당국 사람들 마스크안쓰고 전염병역학조사하는게 이상했음 미국의정서를 보여주는듯,10,2,1,2020-09-02 15:27,0
1834,행복하자(skdu****),ㄷㄷㄷ 너무 무서울 정도로 예언했다...,10,2,1,2020-08-25 23:05,0
1835,cute****,올해 최고 교육적인 영화임 꼭 봐야하는 영화,10,2,1,2020-08-24 2:27,0
1836,최유미(yumi****),성지순례 왔습니다. 코로나 19때메 취소된 콘서트 돌출1열 다시 그자리로 관람 갈수있게 해주세요,10,2,1,2020-05-29 23:41,0
1837,아이리엔(prot****),감독 신 들린 듯? 우한 폐렴의 예언자적 영화다. 곁다리가 많아서 문제지만.,8,2,1,2020-04-12 19:09,0
1838,아침소고기(haha****),코로나 때문에 지금과 매우 비슷하여 리얼함이 굉장히 와닿는 10점짜리 영화. 전염병 아포칼립스 세계를 현실적 사실적으로 잘 표현했다,6,2,1,2020-04-03 1:32,0
1839,럴트(easy****),시대를 앞서간 영화. 감기에 이어 코로나 특선영화 2탄 잘 봤습니다.,10,2,1,2020-04-02 2:23,0
1840,조각보(goot****),수작.  ‘아시아에서 싼 똥을 미국이 치운다’  동양인 혐오는 여기 나오지는 않는다.    미국의 패닉 상황은 cctv 찍은 듯.,6,2,1,2020-03-28 19:53,0
1841,Hijack(lshu****),오늘 2020년 3월21일.COVID-19 사태가 빨리 끝나야 하는데...,10,2,1,2020-03-21 15:32,0
1842,이볼(ssan****),맷 데이먼 딸이 남자친구와 춤 출때 나오는 노래가 제일 인상깊었음U2의 all I want is you,9,2,1,2020-03-20 12:58,0
1843,dong****,영화가 현실이 되었네. 슬프당. ㅠㅠ,10,2,1,2020-03-19 21:09,0
1844,옆집몸짱오빠(ki_l****),이 정도면 미국 중국발 현대 세균 화학전쟁의 비밀 작전 교본 아니면 성지순례다. 이렇게 싱크가 쩌는 각본이라니... 두 가지가 눈에 띄이네... 지도 지역에 아부다비까지 나오는데 한국은 언급도 없는거 ㅡ_ㅡ;; 이게...,8,2,1,2020-03-18 12:52,0
1845,annj****,,10,2,1,2020-03-12 14:42,0
1846,아이폰xs max(lkm5****),우한 폐렴 우한 코로나 우한 바이러스,10,2,1,2020-03-11 0:54,0
1847,agat****,우한 예견 대박이네요.,8,2,1,2020-03-08 20:51,0
1848,잡상인(truc****),건조하고 냉담하게 전염병이 퍼진 인류를 바라본다. 마지막에 나오는 1일째는 시사하는바가 크다. 허나 이런영화들이 얼마든지 쏟아져도 인류는 아마 영원히 바뀌지 않을것이리라. 여태껏 그래왔듯이.,10,2,1,2020-03-08 17:14,0
1849,김동윤(dyki****),이 영화가 현실이 될 줄 누가 알겠어?,6,2,1,2020-03-08 3:43,0
1850,qora****,우한 폐렴 코로나 사태를 예견한 성지 영화임,10,2,1,2020-03-07 1:04,0
1851,가워니(llll****),,10,2,1,2020-03-06 23:26,0
1852,seoh****,손 잘 씻어야 한다는 교훈적인 영화에요...바람은 절대...,8,2,1,2020-03-06 18:00,0
1853,찐쭌(wnsg****),코로나19 중국들아 반성해라 신천지 보고있나?앵간치해라 앵간치해 지긋지긋하다 안그래도 지긋지긋 했는데 덕분에 교회교자가 들으면 이제 치가떨린다ㅡㅡ,10,2,1,2020-03-05 10:52,0
1854,DELL XPS17(xps1****),코로나19를 정확히 예언한 작품 이글은 성지가 될것이다,10,2,1,2020-03-01 19:53,0
1855,1423****,몇년전 이 영화를 처음 접하면서 스토리라인이 참 그럴싸 하다고 생각했었는데.. 박쥐를 매개로 하는 중국발 바이러스.. 상대적으로 인구가 많은 중국이 기폭제 역할을 해 나아가 전 세계가 바이러스의 공포에 떨게된다는 것...,10,2,1,2020-02-27 7:23,0
1856,임태협(code****),지금 보면 세상 그어떤 영화보다도 공감할 수있는 영화,10,2,1,2020-02-26 2:21,0
1857,ange****,요즘 시기에 개봉했으면 천만은 넘었겠네 너무 리얼하다!,10,2,1,2020-02-23 20:10,0
1858,유이(2uk1****),박쥐도 문제지만 그걸 헤집어 놓은 인간들도 문제,10,2,1,2020-02-23 0:05,0
1859,복이넝쿨째(mery****),성지순례왔습니다. 로또 당첨되게 해주세요.,10,2,1,2020-02-21 23:58,0
1860,츠아츠아(venn****),역주행인가요 이영화?ㅋㅋㅋㅋ,10,2,1,2020-02-09 23:27,0
1861,heam(hoo7****),우한사태도 의도된거아닐까 설 전후로 퍼진거보면.. 이유는 글쎄 중국 인구 줄이기?^^,8,2,1,2020-02-09 21:57,0
1862,jinj****,지금 사태를 현실적으로 너무 잘표현한 영화... 다소 지루한감이 있었다... 약간 흐름이 끊기고 개연성이 부족했다...,8,2,1,2020-02-02 17:49,0
1863,11111(unic****),진짜 잘 만들었네 다큐같다,10,2,1,2020-02-01 11:43,0
