Column1,nickname,text,score,like,dislike,time,watch_movie
57,허튼고래(bomm****),성지순례왔습니다. 2년뒤 대한민국 실사판이 됐네요,9,103,9,2015-05-31 3:39,0
58,drav****,억지설정 + 억지개그 + 억지신파 + 억지마무리 + 왠만한 사람들 다 안좋은 표정으로 나옴...,1,163,69,2013-08-15 13:33,0
59,멋진이(yqwa****),진심꼭보세요 여러분 너무너무재밋습니다,10,472,378,2013-08-15 12:13,0
60,baen****,2013년 평점보시면 식상하다는 의견이 많던데...지금 현실은 전혀 식상하지 않네요..ㅎㄷㄷ,10,98,6,2015-06-02 13:28,0
61,닭큐맨털이(lms0****),감기 (부제; 감독의 예언),10,94,4,2015-06-02 14:03,0
62,jang****,아....정말... 태어나서 처음 영화 평점 주는데... 개콘 코너 보는 듯ㅎㅎ,1,188,98,2013-08-15 13:38,0
63,최영은(98lo****),이영화 짱임 알바네뭐네제발짓거리지마세여 사람들마다 보는게다른거지 전 이거 연가시보다 열배더재밌었고 보면후회안함 진짜 평점1점준사람들은 다른영화보고도 그럴사람들임 믿지마세여,10,566,476,2013-08-14 20:55,0
64,틴투샵(hmoa****),"내생에 최악의 영화.... 방금 보고왔는데 시간과 돈이 둘다 아까움... 스토리전개도 부자연스럽고, 억지스럽고... 감기바이러스로 다 죽게된다는 설정은 좋은데 갑자기 정치적 선동하고 2차세계대전 영화같음 ㅋㅋㅋ 보다...",1,133,47,2013-08-19 0:04,0
65,이쁜이(b909****),영화평점 첨 적네요... 요근래 본영화 중 최악의 영화...억지스럽고 감동도 없고재미도 없어요... 관객마다 다르겠지만..,1,169,83,2013-08-15 20:31,0
67,하여울(leem****),뻔한  바이러스 영화겠거니 순전히 에어컨 바람쐬러 보러갔다가 악 소리 지르면서 본 영화 .. ...몇년전 유행했던 죽음의 변형감기에 걸려 41도 가까이 가 본 사람으로서  감기가  변형바이러스로 변하면 저런 상황 올...,10,256,174,2013-08-15 12:27,0
68,여우별(milk****),전혀 개연성 없는 스토리라고 비웃었던 제가 성지순례 왔습니다. 현실은 원래 이렇게 닥치고 보는거죠. 재개봉 하시면 5백만은 넘을 것 같습니다. 감독님.,10,85,5,2015-06-03 21:01,0
69,hhd0****,보는내내 어거지 라는 생각뿐 장혁은 왜 그리 미르미르 지 딸도아닌데 목을메고 도를넘어서 스토리 진짜말도안됨 영화보다가 끝나지도않고 평점올리게만드는영화,1,98,18,2013-08-17 13:58,0
71,감자(kjc3****),다시보니 현실감있는 영화였습니다,10,88,9,2015-05-31 2:21,0
72,superpou(p222****),막판에 그렇게 구해놓은 딸 장혁이 놓고 어디가는게 말이 되냐 ? 그리고 다 벗는데 수애는 왜 안벗어 ? 안벗고 통과할거면 다 안벗지.. 다른애들은 브라자랑 팬티만 빼고 다벗는데 수애는 무슨 용가리 통뼈 ? 벗으라 할...,1,126,47,2013-08-19 0:09,0
73,봉써넙(sunu****),이영화 성지 됩니다. 어찌 영화에 나오는 정부가 지금 정부 보는것 같네요,10,83,5,2015-06-01 15:22,0
74,달의아이(jakd****),제목 메르스로 해서 후속작이 시급합니다.,10,81,4,2015-06-02 14:19,0
75,구리구리(loui****),어설픈 휴머니즘 수애는 그렇게 뛰어다니고 먼지 다 뒤집어써도 금방 세수한것처럼 뽀얌 다른 사람들은 다 거지 그리고 완전 지 딸만 살리겠다 무한이기주의 펼치심 진상떠는데 진짜 세상 엄마들 다 이기적인사람으로 몰아가는것...,1,99,23,2013-08-17 3:27,0
76,whit****,스트레스 풀러 영화보러 갔다가 짜증만 얻어 왔다 젠장!!!,1,112,37,2013-08-19 0:02,0
77,wmj5****,캐릭터들이 짜증나니 몰입이 안되고 보는내내 불편한 영화,1,117,43,2013-08-19 0:00,0
78,세페이드(gkgk****),"장혁은 바이러스 면역체라도 가지고있슴? 뭐 감염자들을 만지고, 감염당한 시체들 사이를 기어다녔는데도 감염이 안되지...? ;;그리고 스토리가 좀 뻔하달까... 감성팔이영화였던것 같습니다....; CG도 좀....;",2,99,26,2013-08-15 21:23,0
79,yunt****,최악중에최악 영화감독아 니눈엔 나라위해목숨바쳐 고생하는 현역군인들이 미군명령에 자국민에게총질이나하는집단으로보이디? 무슨개념으로이딴영화만들었냐?,1,129,58,2013-08-15 23:34,0
80,sard****,아진짜보는내내주인공이죽었으면좋겠다고생각한영화는첨이다.개오바에 말도안되는억지스러운상황.그리고손으로.피로도감염되겠네.시체밭에서애찾는거보고짜증폭발.짜증나는영화.,1,90,20,2013-08-17 21:54,0
81,yms5****,제발 이런 영화 그만 좀 만들었으면 좋겠다.,1,109,42,2013-08-18 23:57,0
82,꿀꿀이(sgch****),"왜 캐캐묵은 감동을 위한 쥐어짜기, 주인공에게만 통하는 비과학적 슈퍼파워, 개연성 없는 억지를 아직도 버리지 못하는 것이냐? 이제 정말 그만!!!",1,122,56,2013-08-15 15:47,0
83,지중해(hsim****),2년전에 이 영화 극장에서 볼때 스토리가 말도 안된다고  생각했는데 지금 보니 완전 요즘 현실이네;;,10,68,3,2015-06-01 19:00,0
84,우왕초밥이다(lkh0****),진짜댓글알바있냐?  억지감동만드는재난영화ㅡㅡ 돈졸라아까워 미르찾아삼만리냐?,1,92,28,2013-08-18 3:33,0
85,firs****,한국 문화계 좌파랑 CJ가 잡고있다 할때 안 믿었는데 오늘 확실히 알게됨. 전시작통권은 전쟁시 발동되는건데 감기에 억지로끼워맞춰서 선동질.작통권 갖고 그리 비판하던 북한이 좋아할 영화,1,173,109,2013-08-15 14:44,0
86,캬라메(ganj****),소름;; 그런데  현실과 영화의 차이점은 차인표같은 대통령은 없다는거..ㅠ,10,64,2,2015-06-03 13:09,0
87,By이상한 소녀(shs1****),걍대박장혁이짱,10,154,92,2013-08-14 13:41,0
88,꼬마(thew****),영화가 현실이 되고있다...,10,62,2,2015-06-01 16:13,0
89,하픈(ruin****),과거 낮은 평점을 준 저 자신을 반성합니다..이렇게 예언적인 영화 였다니...,10,60,1,2015-06-03 20:00,0
90,흐미야(naho****),개봉 당시 '에이 생각있는 사람과 정부라면 저럴리가 없지'라고 깠던거 죄송합니다 한국은 그런나라라는걸 세삼 깨닫게 되네요,9,61,4,2015-06-03 21:07,0
91,krak****,작위적이네,1,121,64,2013-08-15 17:04,0
92,qwqw****,전개가 부실한데다 말도 안되는 감정만 호소,1,98,42,2013-08-18 23:57,0
93,수빈(daes****),ㅋㅋㅋㅋ 진짜 개소름인게 초반부에 영화랑 지금 현실 윗대가리 내용이 너무 똑같아서 깜짝 놀람 ㅋㅋㅋ 이러다 결말까지 같을까봐 무섭다 무서워,10,57,2,2015-06-01 23:51,0
94,울냐옹이(silv****),진짜 평점 조작 알바 법적으로 처벌해야 하는 거아님? 국정원 여론 조작 하는거나 마찬가지.. 거짓은 다 드러나게 마련임.,1,155,100,2013-08-14 17:54,0
95,JM(clea****),"솔직히 괜찮았다. 내가 영화잘 안봐서 그런진 모르겠지만, 개인적으로 나쁘지 않았다. 박민하가 '우리 엄마 쏘지 마세요(?)' 라고 했을때도 뭔가 애절함이.... 뭐 잘본것같애ㅋㅋ",9,209,154,2013-08-14 20:13,0
96,곰토로(boom****),왜 자꾸 메르스랑 감기랑 비교하시죠? 여기선 차인표같은 유능한 대통령이 3.4초에 1명꼴로 걸리는 무려 치사율 100%의 바이러스를 분당이라는 한정적인 지역에만 가두는데 성공했습니다만?,10,56,2,2015-06-03 21:26,0
97,cys0****,성지순례 왔습니다.  메르스로 고통받는 모든이들이 빠른시일내에 백신이 개발되어 치료할수 있게 해주세요.,10,57,3,2015-06-03 19:31,0
98,byul****,"진짜 재밌게 잘봤어요. 뒤에서 사람들이 기침해서 좀 무섭긴 했는데, 연가시보다 더 재밌다고 느낀?ㅎ 진짜 우리나라 대통령이 저래야하는데 라는 생각도 막 들게 되던 영화더라구요ㅠㅠ 암튼짱짱♥♥♥",10,174,120,2013-08-14 12:51,0
99,갈매기(glam****),한미동맹의 고결함을 비난하는 친노종북좌파적 정치성향이 함유된 괴작. 개연성도 연출의 정도도 모두 떨어지는 쓰레기 영화.,1,197,143,2013-08-15 20:10,0
100,rudt****,이게 진짜 재밌어요?,1,125,72,2013-08-15 13:04,0
101,전복구이(chan****),감기 바이러스의 이름은 메르스였다,10,54,2,2015-06-03 18:09,0
102,혼잣말(hana****),현실성 있는 영화입니다. 감독의 역량이 돋보이네요.,10,52,1,2015-06-02 13:35,0
103,먼산바래기(hwj6****),와 미친.. 2년을 예측한 영화라니,10,56,5,2015-06-02 14:22,0
106,01045880215(lott****),이 나라니까 말이 되는 영화,8,54,4,2015-06-02 22:05,0
107,쿠쿠쿠(kys8****),쓰레기,1,96,47,2013-08-15 17:28,0
108,박찬순(b393****),보는 내내 지루하지 않고 너무 재밌었어요.  대박 예감!!,10,191,142,2013-08-14 15:52,0
109,계란후라이(answ****),타이밍만 잘 잡아서 개봉했으면 초대박인데..,10,50,2,2015-06-03 20:47,0
110,도리(rnrw****),볼만은하다. 우선 수애의 이기심이 눈살을 찌푸리게만듬. 장혁의  시체소각장에서의 주인공버프가 심함. 마동석이 급나쁜 악역으로 돌변. 꼬마.소각장에보면 나를때 크레인으로나르는데 높이가 20미터에서 내던지는데 어케살음?...,7,49,2,2013-08-16 15:16,0
111,sgr2****,개봉당시 말도안되는 일이라고 욕했던 나를 반성한다.,10,48,2,2015-06-02 14:43,0
112,라랜드(nell****),보는 내내 짜증이 밀려옴 지금까지 살면서 중간에 나오고 싶었던 적은 처음이었음,1,93,47,2013-08-15 19:19,0
113,Zet(sung****),보다가 중간에 뛰쳐나올뻔했음,1,102,56,2013-08-15 17:33,0
115,송군(king****),아마 지금 시점에 이거 개봉했으면 정부에서 선동이라고 상영금지가처분 내렸을 거다. 자기들이 하는 행동하고 너무나도 다르거든..,10,46,1,2015-06-03 18:27,0
116,맹구삼분지교(pon0****),김성수 감독은 천재가 분명하다...메르스를 예측하다니,10,50,5,2015-06-01 19:01,0
